,src,hyp_bi,hyp_uni_waco,ref
0,"He said, ""I'm so proud of you."" And I have to tell you, it was energizing.","""Dijo: """"Estoy muy orgulloso de ti"""". Y tengo que decirles que fue energizante.""","""Él dijo: """"Estoy muy orgulloso de ti"""". Y debo decirles que fue energizante.""","Y me susurró en el oído, me dijo: ""Estoy orgulloso de Ud."". Tengo que decirles ahora que eso fue vigorizante."
1,"Evolution is all about passing on the genome to the next generation, adapting and surviving through generation after generation.","La evolución consiste en transmitir el genoma a la siguiente generación, adaptarse y sobrevivir generación tras generación.","La evolución se trata de transmitir el genoma a la siguiente generación, de adaptarse y sobrevivir generación tras generación.",La evolución consiste en pasar el genoma a la próxima generación; adaptándose y superviviendo generación tras generación.
2,So the first steps of the story that I told you about took a billion years a piece.,Así que los primeros pasos de la historia que les conté tomaron mil millones de años cada uno.,"Así que los primeros pasos en la historia, sin embargo, llaman la atención.",Las primeras etapas de la historia que les contaba llevaron mil millones de años cada una.
3,"Where I ran into the most heat from this most recently was last year when South African runner, Caster Semenya, had her sex called into question at the International Games in Berlin.",Donde me encontré con la mayor reacción a esto fue el año pasado cuando la corredora sudafricana Caster Semenya tuvo su sexo cuestionado en los Juegos Internacionales de Berlín.,Lo más reciente de lo que me enteré de esto fue el año pasado cuando la corredora sudafricana Caster Semenya tuvo su sexo cuestionado en los Juegos Internacionales de Berlín.,El caso reciente más álgido es del año pasado con la corredora sudafricana Caster Semenya; se puso en tela de juicio su sexo en los Juegos Internacionales de Berlín.
4,"Yet I am afraid of privilege, of ease, of entitlement. Can I give them a bow in their lives, dipping bravely into each wave, the unperturbed and steady beat of the engine, the vast horizon that guarantees nothing? I don't know. But if I could give it and still see them safely through, I would.","Sin embargo, tengo miedo del privilegio, de la facilidad, de los derechos. ¿Puedo darles un saludo en sus vidas, sumergiéndome valientemente en cada ola? ¿El latido tranquilo y constante del motor? ¿El vasto horizonte que no garantiza nada? No lo sé. Pero si pudiera darlo y aún así verlos a salvo, lo haría. (Aplausos)","Sin embargo, tengo miedo al privilegio, a la facilidad, a los derechos. ¿Puedo darles una oportunidad en sus vidas, arriesgándome en cada ola? ¿El ritmo constante y firme del motor? ¿El vasto horizonte que no garantiza nada? No lo sé, pero si pudiera darles una oportunidad y aún así verlos con seguridad, lo haría. (Aplausos)","Sin embargo, le temo al privilegio de lo fácil, del derecho. ¿Puedo darles una proa en sus vidas, sumergiéndose valiente en cada ola, el impávido ritmo constante del motor, el vasto horizonte que no garantiza nada? No lo sé. Pero si pudiera darlo y verlos a salvo, lo haría."
5,This is a chart of what it looked like.,Este es un gráfico de cómo se veía.,Este es un gráfico de cómo se veía.,Este gráfico muestra la frecuencia de uso.
6,"We're near the end, we're getting close to the World Series.",Nos estamos acercando a la teoría del mundo.,"Estamos aquí al final, cerca de las teorías del mundo.","Estamos cerca de la final, se aproxima la Serie Mundial."
7,"So what you were getting was this: Your name here presents: My TED Talk that you have no idea what the subject is and, depending on the content, could ultimately blow up in your face, especially if I make you or your company look stupid for doing it.","""Así que lo que tenían era esto: """"Su nombre aquí presenta mi charla TED"""". No tenían idea del tema, y dependiendo del contenido, podría explotar en su cara, especialmente si los hacía parecer tontos por hacerlo.""","Así que lo que se obtiene es esto: tu nombre aquí presenta mi charla TED que no tienes ni idea del tema, dependiendo del contenido, podría explotar en tu cara, especialmente si te hago a ti o a tu empresa parecer tonto por hacerlo.","Lo que había era lo siguiente: ""AQUÍ SU NOMBRE presenta: mi TEDTalk de la que no tienen idea de qué se trata y según contenido podría explotarle en la cara, especialmente si lo pongo en ridículo a Ud o a su compañía al hacerlo."
8,And I claim it's already today that it's more likely for any of us to become the victim of a crime online than here in the real world.,Y sostengo que ya es más probable que cualquiera de nosotros sea víctima de un crimen en línea que aquí en la vida real.,Y afirmo que ya es más probable que cualquiera de nosotros sea víctima de un crimen en línea que aquí en el mundo real.,Y yo digo que hoy es más probable que cualquiera de nosotros sea víctima de un cibercrimen que de un crimen real.
9,"I'm Jessi, and this is my suitcase.",Soy Jesse y esta es mi maleta.,"Soy Jesse, y esta es mi maleta.","Soy Jessi, y esta es mi valija."
10,"I don't remember the pirates who came many times, but were bluffed by the bravado of the men on our boat, or the engine dying and failing to start for six hours.","No recuerdo a los piratas que vinieron muchas veces, pero fueron engañados por el bravado de los hombres en nuestro barco, o el motor que se apagó y no pudo arrancar durante seis horas.","No recuerdo a los piratas que vinieron muchas veces, pero fueron engañados por el blufo de los hombres en nuestro barco, o el motor que murió y no pudo arrancar durante seis horas.","No recuerdo a los piratas que vinieron varias veces, pero que fueron engañados con la valentía de los hombres en nuestro barco, o el motor muriendo y no pudiendo arrancar por 6 horas."
11,"Just a week ago, the National Academy of Engineering awarded its Draper Prize to Francis Arnold and Willem Stemmer, two scientists who independently developed techniques to encourage the natural process of evolution to work faster and to lead to desirable proteins in a more efficient way — what Frances Arnold calls ""directed evolution."" A couple of years ago, the Lasker Prize was awarded to the scientist Shinya Yamanaka for his research in which he took an adult skin cell, a fibroblast, and by manipulating just four genes, he induced that cell to revert to a pluripotential stem cell — a cell potentially capable of becoming any cell in your body.","Hace un par de años, el premio Lasker fue otorgado al científico Shinya Yamanaka por su investigación en la que tomó una célula adulta de la piel, una fibroblast, y mediante la manipulación de solo cuatro genes, indujo a esa célula a revertirse a una célula madre pluripotencial, una célula potencialmente capaz de convertirse en cualquier célula en el cuerpo.","""Hace de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de la célula de","Hace apenas una semana la Academia Nacional de Ingeniería otorgó su Premio Draper a Francis Arnold y Willem Stemmer, dos científicos que desarrollaron técnicas en forma independiente para hacer que el proceso evolutivo natural funcione más rápido y conduzca a proteínas deseables de manera más eficiente; lo que Frances Arnold llama « evolución dirigida ». Hace un par de años, el Premio Lasker fue otorgado al científico Shinya Yamanaka por su investigación en la que tomó una célula adulta de la piel, un fibroblasto, y manipulándole sólo cuatro genes indujo a esa célula a que se vuelva una célula madre pluripotencial: una célula capaz, en potencia, de volverse cualquier célula del cuerpo."
12,"And so I started playing around, and I found something going on over here.",Así que empecé a jugar y encontré algo que pasaba aquí.,Así que empecé a jugar y encontré algo que pasaba aquí.,"Así es que empecé a jugar, y me encontré con algo que sucedía ahí."
13,We told her stories and assured her that we were still with her.,Le contamos historias y le aseguramos que aún estábamos con ella.,Contábamos sus historias y nos quedábamos con ella.,Le contamos historias y le aseguramos que estábamos aún con ella.
14,"And I made myself a bargain that if only I redouble my efforts to be perfect and never make another mistake again, please make the voices stop. And they did. And I went back to work. And then it happened again.","""Y me hice una promesa, que si solo redoblaba mis esfuerzos para ser perfecto y nunca cometía otro error de nuevo, por favor, que las voces se detuvieran """". Y lo hicieron. Y volví a trabajar, y entonces sucedió de nuevo.""","""Y me hago una promesa: """"Si tan solo doblara mis esfuerzos por ser perfecta, y nunca cometiera otro error otra vez"""". Por favor, detengan la voz. Y no lo hicieron. Volví a trabajar, y sucedió de nuevo.""","E hice un trato conmigo mismo en el que si redoblaba los esfuerzos para ser perfecto para no cometer más errores, haría cesar esas voces. Y así fue. Volví a trabajar, pero volvió a suceder."
15,"Then the next steps, like language and so on, took less than a million years.","Los siguientes pasos, como el lenguaje y demás, tomaron menos de un millón.","El siguiente paso, como Linda Wachner y alguien, podría ser menos de un millón.","Las siguientes, el lenguaje etc., llevaron menos de un millón de años."
16,They don't talk about God and God's nature.,No hablan de Dios y de la naturaleza de Dios.,No hablan de Dios ni de su naturaleza.,No hablan de Dios y de la naturaleza de Dios.
17,We at Berkeley Bionics call these robots exoskeletons.,"Nosotros somos Portable Bionix, llamamos a estos robots.",Nosotros llamamos a estos robots Cog.,"En ""Berkely Bionics"" llamamos a estos robots, exoesqueletos."
18,"There's the left half, which is the logical side, and then the right half, which is the intuitive.","Está la mitad izquierda, que es lógica, y la mitad derecha, que es intuitiva.","Ahí está la mitad izquierda, que es el lado lógico, y luego la mitad derecha, que es el intuitivo.","El lado izquierdo, que es la parte lógica, y el lado derecho, que es la parte intuitiva."
19,We're trying to do something about the death penalty.,Estamos tratando de hacer algo sobre el país de los muertos.,Estamos tratando de hacer algo al respecto.,Tratamos de hacer algo respecto a la pena de muerte.
20,We'll come back to these people later.,Volveremos a esta gente más adelante.,Volveremos a esta gente más adelante.,Volveremos a hablar de ellos más tarde.
21,"But then what happened was the individuals worked out, of course, tricks of communicating.",Y luego lo que pasó fue que los individuos desarrollaron los trucos básicos de la comunicación.,"Entonces, ¿qué pasó cuando los individuos trabajaron en comunicación estricta?","Pero luego, claro, los individuos descubrieron el truco de la comunicación."
22,"And the adrenal glands make androgens, which are a masculinizing hormone.","Y las glándulas adrenales producen andrógenos, que son hormonas masculinizantes.","Y las glándulas eréctiles producen angiogénicos, que son hormonas masculinas.","Las glándulas suprarrenales producen andrógenos, la hormona de la masculinización."
23,We've all got navigation controls in our car. We maybe even have it in our cellphone.,"Tenemos control de navegación en nuestro auto, quizá incluso en nuestro celular.","Tenemos controles de navegación en nuestros autos, quizá incluso en nuestros teléfonos móviles.",Todos tenemos controles de navegación en los autos; tal vez incluso los tengamos en nuestros celulares.
24,And so the next stage that's interesting in life took about another billion years.,"Así que la siguiente etapa, que es interesante en la vida, tomó otros mil millones de años.","Y la siguiente etapa, que es interesante en la vida, es otro millón de años.",La siguiente etapa interesante para la vida llevó otros mil millones de años.
25,This is the real cool part.,Esta es la parte genial.,Esta es la parte genial.,Esta es la parte realmente genial.
26,No one has to green-light your idea.,Nadie tiene que dar la luz verde a tu idea.,Nadie tiene que dar luz verde a tu idea.,No pidan permiso para expresar sus ideas.
27,It is a jigsaw puzzle still being put together.,Es un rompecabezas gigantesco todavía en construcción.,Es un rompecabezas todavía en construcción.,Es un rompecabezas que todavía se está armando.
28,The whole building is made of water.,Todo el edificio está hecho de agua.,Todo el edificio está hecho de agua.,Todo el edificio está hecho de agua.
29,"And by the way, we immigrate and circulate and intermix so much that you can't any longer have the isolation that is necessary for evolution to take place.","Y por cierto, nos inmigramos, circulamos e intercambiamos tanto que ya no podemos tener el aislamiento necesario para que la evolución se dé.","Y, por cierto, nosotros inmigramos, circulamos y mezclamos tanto que ya no se puede tener el aislamiento que es necesario para que ocurra la evolución.","Y, por cierto, migramos, circulamos, y nos entremezclamos tanto que ya no es posible tener el aislamiento necesario para que ocurra la evolución."
30,"Another quick example about sensing: it's not about people, but about things we use and consume.","Otro ejemplo rápido sobre la percepción, no es sobre las personas, sino sobre las cosas que usamos y consumimos.","En otro ejemplo de detección, no se trata de personas, sino de cosas que usamos y consumimos.","Otro ejemplo rápido de detección: no se trata de gente, sino de cosas que usamos y consumimos."
31,Y'all go ahead.,Así que adelante.,Así que sigue adelante.,"Uds. pueden seguir ""."
32,"We set up a website, and asked the crowd, ""If you see an AED, please submit it, tell us where it is, tell us when it's open,"" since sometimes in office hours it's closed, of course.","""Y creamos un sitio web y le pedimos a la gente: """"Si ven un DEA, por favor envíenoslo"""". """"Díganos dónde está"""". """"Díganos cuándo está abierto"""", ya que a veces en horario de oficina, está cerrado, por supuesto.""","Así que creé un sitio web y le pedí a la gente que si veían un ADA, por favor lo enviaran, que nos dijeran dónde estaba, cuándo estaba abierto, ya que a veces en las oficinas está cerrado, por supuesto.","Creamos un sitio Web, Y le pedimos al público que: ” Si ven un DESA, por favor envíenlo, díganos dónde, y cuándo está abierto ”, ya que a veces abren en horarios de oficina y otras están cerrados."
33,"Other than writing a check, what could we do?","Aparte de escribir un cheque, ¿qué podríamos hacer?","Aparte de escribir un cheque, ¿qué podríamos hacer?",Algo que no sea un cheque. ¿Qué podemos hacer?
34,"I don't know if you know this, but bacteria can actually exchange DNA.","No sé si lo saben, pero las bacterias pueden intercambiar ADN.","Y quizá lo sepan, pero las bacterias pueden intercambiar genes.","No sé si lo saben, pero las bacterias pueden intercambiar ADN."
35,"But today, we have a situation where we want to take vital organs out of beings and give them to other beings.","Pero hoy, tenemos una situación en la que queremos extraer órganos vitales de seres y darlos a otros seres.",Pero hoy tenemos una situación en la que queremos tomar órganos vitales de seres y darlos a otros seres.,"Pero hoy podemos, por ejemplo, extraer órganos vitales de un cuerpo y ponerlos en otro cuerpo."
36,"My mother was exhausted each night, but we told one another about our day and listened to the movements of my grandmother around the house.","Mi madre estaba agotada cada noche, pero nos contábamos el día y escuchábamos los movimientos de mi abuela en la casa.","Mi madre estaba agotada cada noche, pero nos contábamos el día y escuchábamos los movimientos de mi abuela en la casa.","Mi madre estaba exhausta cada noche, pero nos contábamos sobre nuestro día y escuchábamos los movimientos de nuestra abuela en la casa."
37,"As a consequence, the body develops more along the female typical path.","Como consecuencia, el cuerpo desarrolla más a lo largo del camino típico femenino.","Como consecuencia, el cuerpo se desarrolla más en el camino típico de la hembra.","Como consecuencia, el cuerpo se desarrolla siguiendo un curso típicamente femenino."
38,"And ask all of our colleagues in the rest of the world, colleague universities, to help us to find and work and act like a hub to crowdsource all these AEDs all around the world, that whenever you're on holiday and somebody collapses, might it be your own relative or someone just in front of you, you can find this.","Y le pedimos a todos los colegas de nosotros en el resto del mundo, a las universidades colegas, que nos ayuden a luchar y trabajar y actuar como un grupo de apoyo, a recolectar todos estos AEDs alrededor del mundo, que cuando estén de vacaciones y alguien se desmaye, podrían ser sus propios familiares o alguien justo frente a Uds., pueden encontrar esto.","Y pedimos a todos nuestros colegas en el resto del mundo, universidades colegas, que nos ayuden a encontrar y trabajar y actuar como un grupo de apoyo para todos estos AIDS alrededor del mundo, que cuando estén en vacaciones y alguien se enferme, podrían ser sus propios familiares, o alguien justo frente a Uds., pueden encontrar esto.","Estamos consultando a todos los colegas en el mundo, en otras universidades, para que nos ayuden a encontrar, trabajar y actuar como un centro para el crowdsourcing de los DESA en todo el mundo."
39,"So the system is evolving to create backups that make it easier to detect those mistakes that humans inevitably make and also fosters in a loving, supportive way places where everybody who is observing in the health care system can actually point out things that could be potential mistakes and is rewarded for doing so, and especially people like me, when we do make mistakes, we're rewarded for coming clean.","Así que el sistema está evolucionando para crear retroalimentación que haga más fácil detectar esos errores que los humanos inevitablemente cometemos, y también fomenta, de una manera amorosa y apoyadora, lugares donde todos los que están observando en el sistema de salud pueden señalar cosas que podrían ser errores potenciales, y se les recompensa por hacerlo, y especialmente a personas como yo, cuando cometemos errores, se nos recompensa por salir limpios.","Así que el sistema se ha evolucionado para crear señales que faciliten la detección de esos errores que los humanos inevitablemente cometemos, y también fomenta, de manera amorosa, lugares donde todo el mundo puede venir a observar el sistema de salud y realmente señalar cosas que podrían ser errores potenciales, y es recompensado por hacerlo uno mismo, y especialmente a personas como yo, cuando cometemos errores, se nos recompensa por estar limpios.","Pero el sistema está evolucionando para crear soportes que permitan detectar de manera simple esos errores que inevitablemente cometemos los humanos. Y además promover el apoyo y el cariño, espacios desde donde lo que observen en el sistema de salud, puedan detectar errores potenciales y ser recompensados por eso; especialmente a personas como yo, para que al cometer errores seamos retribuidos por admitirlos."
40,"We've got to put that bear in a cage. (Laughter) Embrace fear. Embrace risk. One big spoonful at a time, we have to embrace risk.","Tenemos que poner ese oso en una jaula. (Risas) Aceptar el miedo. Aceptar el riesgo. Un cucharón a la vez, tenemos que aceptar el riesgo.","Tenemos que poner ese oso en una jaula. (Risas) Adoptar el miedo, adoptar el riesgo. (Risas) Un cucharón a la vez, tenemos que adoptar el riesgo.","Tenemos que poner a ese oso en una jaula. (Risas) Abracemos el miedo. Abracemos el riesgo. De a una cucharada a la vez, tenemos que abrazar el riesgo."
41,Have a look what she's doing.,Miren lo que está haciendo.,Miren lo que está haciendo.,Miren lo que está haciendo ella.
42,Eating an entire bowl of Cool Whip. (Laughter) That's very risky.,Comer todo un tazón de helado. (Risas) Eso es muy arriesgado.,Comer todo un tazón de helado. (Risas) (Aplausos) Eso es muy arriesgado.,Comerse un tazón entero de Cool Whip. (Risas) Eso es muy arriesgado.
43,That's a painting of a circle.,Es una pintura de un círculo.,Esa es una pintura de un círculo.,Esa es la pintura de un círculo.
44,"And he knew her, he would have been able to furnish additional information about her.",Y él sabía que habría podido proporcionar información adicional sobre ella.,Y él sabía que habría podido obtener información digital sobre ella.,"Y si mi jefe la hubiera visto, habría podido aportar información complementaria."
45,"Multiple Announcers: Drug war. Mass destruction. Tornado. Recession. Default. Doomsday. Egypt. Syria. Crisis. Death. Disaster. Oh, my God.","♪ ♪ El maestro de la estructura de la torre, ♪ ♪ la recesión de Detroit, ♪ ♪ la crisis de Siria, ♪ ♪ el desastre de Myanmar.","La guerra civil, la destrucción masiva, la recesión, la deflación, dan a Siria precio, muerte, desastre desde el cielo.","Varios locutores: Guerra al narcotráfico. Destrucción masiva. Tornado. Recesión. Bancarrota. Juicio final. Egipto. Siria. Crisis. Muerte. Desastre. ¡Oh, Dios mío!"
46,"Its flexible design allows for deep squats, crawls and high-agility movements.","Su diseño flexible permite agachamientos profundos, gateos y movimientos de alta agilidad.","Tiene un diseño flexible, permite posturas profundas, gateos y movimientos de alta agilidad.","Su diseño flexible, permite ponerse en cuclillas arrastrarse y ejecutar movimientos con gran agilidad."
47,"And the next steps, like nervous systems and brains, took a few hundred million years.","Y los siguientes pasos, como los sistemas nerviosos y cerebros, tomaron unos cientos de millones de años.","Y el siguiente paso, como los sistemas nerviosos y cerebros, tomó unos cientos de millones de años.","Las siguientes etapas, el sistema nervioso y el cerebro, llevó unos cientos de millones de años."
48,"But combined in a certain way, they can create something that still looks three-dimensional, like it could exist.","Pero combinados de cierta manera, pueden crear algo que todavía se ve tridimensional, como si pudiera existir.","Pero combinados de cierta manera, pueden crear algo que parece tridimensional, como si existiera.",Pero combinados de cierta manera pueden crear algo que aún parece tridimensional; como si existiera.
49,Only about 12 percent of the decisions did they make an hour or more of their time.,Sólo el 12% de las decisiones que tomaron en una hora o más de su tiempo.,Sólo el 12% de las decisiones que toman y una hora o más de su tiempo.,Sólo un 12% requirieron una hora o más de su tiempo.
50,"If they found a paper which had the wrong kind of thought, they could track down who created that thought.","Si encontraron el artículo que tenía un pensamiento equivocado, podrían rastrear quién creó ese pensamiento.","Descubrió el artículo que tenía pensamientos erróneos, y lo rastreó hasta que lo creó.",Si encontraban un escrito con el mensaje incorrecto podrían rastrear la huella hasta el origen de la idea.
51,"Words, for so long his friends, now mocked him.","Palabras durante tanto tiempo, sus amigos ahora se burlaban de él.","Durante mucho tiempo, sus amigos se burlaron de él.","Las palabras, por tanto tiempo amigas, ahora lo burlaban."
52,"So when I knew I was coming here to do a TED Talk that was going to look at the world of branding and sponsorship, I knew I would want to do something a little different.","Así que cuando supe que iba a venir aquí a dar una charla TED sobre el mundo de la marca y la patrocinio, supe que quería hacer algo un poco diferente.","Así que cuando supe que iba a venir aquí a través de una charla TED que iba a ver el mundo de la marca y la patrocinio, supe que quería hacer algo un poco diferente.",Así que cuando supe que vendría aquí a hacer una TEDTalk sobre el mundo de las marcas y el patrocinio quise hacer algo un poco diferente.
53,"And if you don't, someone can steal it from you.","Y si no, alguien puede robarlo.","Y si no, alguien puede robarlo.","Si no lo haces, alguien puede robártela."
54,"So the idea that we can actually involve people in doing this thing together, collectively.","Así que la idea de si podemos involucrar a la gente en hacer esto juntos, colectivamente.","Así que la idea que me llevó a involucrar a la gente en hacer esto juntos, colectivamente.","La idea es que podemos hacer que la gente se involucre en hacer esto juntos, de forma colectiva."
55,You hear a lot of talk about how quantum mechanics says that everything is all interconnected.,Se oye mucho hablar de cómo la mecánica cuántica dice que todo está interconectado.,Se oye mucho hablar de cómo la climática es que todo está interconectado.,Se oye hablar mucho acerca de que la mecánica cuántica afirma que todo está interconectado.
56,I wanted to restore health from disease.,Quería restaurar la salud de la enfermedad.,Quería restaurar la salud de la enfermedad.,Quería recuperar la salud en la enfermedad.
57,The next thing we looked at is in which case were people more likely to buy a jar of jam.,Lo siguiente que observamos es en qué casos la gente es más propensa a comprar un frasco de mermelada.,Lo siguiente que observamos es en qué casos la gente es más propensa a comprar un frasco de mermelada.,También nos fijamos en qué caso estaban más propensos a comprar un tarro de mermelada.
58,"We have online criminals. Like here, we have Mr. Dmitry Golubov, from the city of Kiev in Ukraine.","Tenemos criminales informáticos, como aquí tenemos al Sr. Dmitry Kolubov de la ciudad de Kiev en Ucrania.","Tenemos criminales informáticos, como aquí, tenemos al Sr. Andriy Bobikov de la ciudad de Kiev, en Ucrania.","Están los cibercriminales como el Sr. Dimitry Golubov de la ciudad de Kiev, en Ucrania."
59,This is not a question between privacy against security.,Esta no es una cuestión entre la privacidad y la seguridad.,Esta no es una cuestión de privacidad contra seguridad.,No es una cuestión de la privacidad contra la seguridad.
60,This is the call center for the services and information line.,Este es el centro de llamadas para el servicio de información.,Este es el centro de llamadas para la línea de información.,Este es el centro de atención telefónica de servicios e información.
61,"He said, ""I'm so proud of you."" And I have to tell you, it was energizing.","""Dijo: """"Estoy muy orgulloso de ti"""". Y tengo que decirles que fue energizante.""","""Él dijo: """"Estoy muy orgulloso de ti"""". Y debo decirles que fue energizante.""","Y me susurró en el oído, me dijo: ""Estoy orgulloso de Ud."". Tengo que decirles ahora que eso fue vigorizante."
